# Exact Google Drive archive contract. Paths are relative to DRIVE_REMOTE (default data:).
# id	category	kind	local_path	drive_path	restore_path	expected_count	expected_bytes	sha256	status	notes
nymeria_derived_core	data	tree	${WEKA_ROOT}/nymeriaplus_kimodo_proportional	cosmos_data/nymeriaplus_kimodo_proportional	${WEKA_ROOT}/nymeriaplus_kimodo_proportional	4474	350742352390	-	verified	S01-S20 motion npz, uniego_rep, metadata, camera, camera_rgb, video, and split; excludes latent caches and logs
seed_proportional_motion	data	tree	${WEKA_ROOT}/seed/soma_proportional_motions_20fps	cosmos_data/seed/soma_proportional_motions_20fps	${WEKA_ROOT}/seed/soma_proportional_motions_20fps	142220	136085271536	-	verified	BONES proportional source motion
seed_proportional_uniego	data	tree	${WEKA_ROOT}/seed/soma_proportional_uniegomotion_20fps	cosmos_data/seed/soma_proportional_uniegomotion_20fps	${WEKA_ROOT}/seed/soma_proportional_uniegomotion_20fps	142231	24121032440	-	verified	Active BONES Phase-2 input and source Mean_uniego/Std_uniego
seed_uniform_motion	data	tree	${WEKA_ROOT}/seed/soma_uniform_motions_20fps	cosmos_data/seed/soma_uniform_motions_20fps	${WEKA_ROOT}/seed/soma_uniform_motions_20fps	142220	135916883056	-	uploading	Root/POC uniform motion source; verify after active copy completes
seed_uniform_stats	data	tree	${WEKA_ROOT}/seed/stats/soma_uniform_motions_20fps	cosmos_data/seed/stats/soma_uniform_motions_20fps	${WEKA_ROOT}/seed/stats/soma_uniform_motions_20fps	6	3752	-	verified	Root 369-D motion training statistics; all six files match Drive checksums
kimodo_benchmark_20fps	eval	tree	${WEKA_ROOT}/Kimodo-Motion-Gen-Benchmark-20fps	cosmos_data/benchmarks/Kimodo-Motion-Gen-Benchmark-20fps	${WEKA_ROOT}/Kimodo-Motion-Gen-Benchmark-20fps	94045	17888724977	-	verified	Full BONES generation benchmark; all 94,045 local files match Drive by size
kimodo_benchmark_splits	data	tree	${WEKA_ROOT}/Kimodo-Motion-Gen-Benchmark/splits	cosmos_data/benchmarks/Kimodo-Motion-Gen-Benchmark/splits	${WEKA_ROOT}/Kimodo-Motion-Gen-Benchmark/splits	3	5879031	-	verified	Exact train/content/repetition split files
latent_cache_contracts	data	tree	${REPO_ROOT}/migration/cache_contracts	cosmos_data/cache_contracts	${REPO_ROOT}/migration/cache_contracts	2	1278	-	verified	Tracked and Drive-backed contracts for the regenerable 720-tier T97 cache
joint_attention_metadata	data	tree	${RUN_ROOT}/joint_attention	cosmos_data/joint_attention	${RUN_ROOT}/joint_attention	8	638096228	-	verified	BONES pairs/indexes, full71/bomb windows, plus ignored Nymeria pair files
phase1_eval_full71	eval	tree	${RUN_ROOT}/native_phase1_eval_inputs_full71_256_T97_v2	cosmos_data/eval_fixtures/native_phase1_eval_inputs_full71_256_T97_v2	${RUN_ROOT}/native_phase1_eval_inputs_full71_256_T97_v2	364	136318894	-	verified	Canonical held-out 71-sequence Phase-1 fixture
phase1_eval_prefix5	eval	tree	${RUN_ROOT}/native_phase1_eval_inputs_vq_prefix5_256_T97_qfilter_person_v1	cosmos_data/eval_fixtures/native_phase1_eval_inputs_vq_prefix5_256_T97_qfilter_person_v1	${RUN_ROOT}/native_phase1_eval_inputs_vq_prefix5_256_T97_qfilter_person_v1	49	11791790	-	verified	Five fixed prefix lengths on five held-out sources
shape_aware_c45	eval	tree	${WEKA_ROOT}/shape_aware_motion_eval_c45_20260715	cosmos_data/eval_fixtures/shape_aware_motion_eval_c45_20260715	${WEKA_ROOT}/shape_aware_motion_eval_c45_20260715	462	510762885	-	verified	Self-verifying C45 evaluator bundle; run sha256sum -c SHA256SUMS after restore
video_metric_models	eval	tree	${WEKA_ROOT}/model_cache	cosmos_models/evaluation/model_cache	${WEKA_ROOT}/model_cache	30	5222030288	-	verified	DreamSim and content-debiased FVD models
run_metadata_archives	metadata	tree	${WEKA_ROOT}/cosmos_motion_migration_staging/run_metadata	cosmos_run_metadata_archives	${WEKA_ROOT}/cosmos_motion_migration_staging/run_metadata	26	1431747113	-	verified	Thirteen tar.zst archives plus SHA-256 sidecars; configs, logs, manifests, and numeric eval outputs without checkpoints/media
phase1_A_dcp	checkpoint	tree	${RUN_ROOT}/cosmos3_camera/camera_world/native_phase1_vq_A_p1_global_lora_aw2_bs4_lr5e5_ema100k_qfilterv1_person/checkpoints/iter_000100000	cosmos_ckpts/native_phase1_vq_A/iter_000100000	${RUN_ROOT}/cosmos3_camera/camera_world/native_phase1_vq_A_p1_global_lora_aw2_bs4_lr5e5_ema100k_qfilterv1_person/checkpoints/iter_000100000	36	91398229476	-	verified	Full resumable native DCP
phase1_B_dcp	checkpoint	tree	${RUN_ROOT}/cosmos3_camera/camera_world/native_phase1_vq_B_varprefix_global_lora_aw2_bs4_lr5e5_ema100k_qfilterv1_person/checkpoints/iter_000100000	cosmos_ckpts/native_phase1_vq_B/iter_000100000	${RUN_ROOT}/cosmos3_camera/camera_world/native_phase1_vq_B_varprefix_global_lora_aw2_bs4_lr5e5_ema100k_qfilterv1_person/checkpoints/iter_000100000	36	91398229504	-	verified	Full resumable native DCP
